uniqueID,propId,statusId,cityId,location,street,floor,size,structure,municipality,polygons,ptId,price,coverPhoto,rentOrSale,caseId,caseType,underConstruction,filed,furnished,ceiling,furnishingArray,bldgOptsArray,heatingArray,parkingArray,yearOfConstruction,joineryArray,petsArray,otherArray,availableFrom,firstPublished,pricePerSize,showPdv,oldPrice,isSalonac,isNotLastFloor,isNoElevatorButLow,bedroomsArray,bathroomArray,renovationArray,minLeaseArray,newDevelopment,distanceCenterArray,isFeatured,isLux,newImagePipeline,isRecommended
78567-BR,78567,51,1,"44.79358, 20.47076",Lamartinova,1,77,3.0,Vračar,"['Vračar', 'Neimar', 'Širi centar']",1,2000.0,cityexpert.rs_-_nekretnina_id_-_78567-04522-20260525.avif,r,118681,BR,False,0,1,1,"['furAircon', 'furBed', 'furDishWasher', 'furFridge', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']","[1, 1]",[1],6,[3],[],['adpTerrace'],2026-05-20T22:00:00Z,2026-05-30T08:47:30Z,25.974026,,,False,True,True,['r2'],"['b1+', 'b2+']",[],[12],False,['5'],True,False,True,False
68436-BR,68436,51,1,"44.78599, 20.51612",Vladimira Gortana,1,55,2.5,Zvezdara,"['Zvezdara', 'Konjarnik', 'Širi centar', 'Zvezdara bez Mirijeva']",1,650.0,cityexpert.rs_-_nekretnina_id_-_68436_-_0011_-_20241217.jpg,r,117681,BR,False,0,1,1,"['furAircon', 'furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']","[1, 1]",[4],5,[1],"[1, 2, 3, 4, 5]",['adpTerrace'],2026-04-22T22:00:00Z,2026-05-30T08:45:53Z,11.818182,,,False,True,True,['r2'],['b1+'],[],[12],False,['5_10'],False,False,True,False
49880-BR,49880,51,1,"44.809, 20.47422",Miročka,1,45,2.0,Palilula,"['Palilula', 'Tašmajdan', 'Centar', 'Širi centar', 'Palilula - uži deo', 'Krug dvojke']",1,600.0,cityexpert.rs_-_nekretnina_id_-_49880_-_0640_-_20220630.jpg,r,118443,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']",[1],"[2, 5]",6,[2],"[1, 2, 3, 4, 5]",['adpTerrace'],2026-05-31T22:00:00Z,2026-05-30T08:36:50Z,13.333333,,,False,True,True,['r1'],['b1+'],[],[12],False,['5'],False,False,True,False
60976-BR,60976,51,1,"44.81007, 20.42987",Bulevar Arsenija Čarnojevića,1,43,2.0,Novi Beograd,"['Novi Beograd', 'Blok 22', 'Centralni NBG']",1,690.0,cityexpert.rs_-_nekretnina_id_-_60976_-_0420_-_20231208.jpg,r,118976,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsSurveillance']",[1],[5],6,[3],[],[],2026-05-30T08:17:00Z,2026-05-30T08:24:51Z,16.04651,,,False,True,True,['r2'],['b1+'],[],[12],False,['5'],False,False,True,False
78694-BR,78694,51,1,"44.78742, 20.54214",Mihaila Bulgakova,1,36,1.0,Zvezdara,"['Zvezdara', 'Mirijevo', 'Mirijevo IV']",1,400.0,cityexpert.rs_-_nekretnina_id_-_78694-02971-20260530.avif,r,118933,BR,False,0,1,2,"['furAircon', 'furCable', 'furDishWasher', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furTV', 'furWasher']",['bldgOptsIntercom'],"[1, 1, 4]",[2],6,[2],"[1, 2]",['adpTerrace'],2026-05-28T15:11:17Z,2026-05-30T08:23:09Z,11.111111,,,False,True,True,['r1'],['b1+'],[],[12],False,['5_10'],False,False,True,False
78692-BR,78692,51,1,"44.80209, 20.46788",Makenzijeva,5_10,50,2.0,Vračar,"['Vračar', 'Slavija', 'Centar', 'Širi centar']",1,650.0,cityexpert.rs_-_nekretnina_id_-_78692-04773-20260530.avif,r,118931,BR,False,0,1,2,"['furAircon', 'furBed', 'furDishWasher', 'furFridge', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom', 'bldgOptsRamp', 'bldgOptsSurveillance']",[1],[5],6,[2],[],['adpTerrace'],2026-05-28T14:38:19Z,2026-05-30T08:20:51Z,13.0,,,False,False,True,['r1'],['b1+'],[1],[12],False,['5'],False,False,True,False
50730-BR,50730,51,1,"44.74715, 20.44784",Borska,VPR,26,0.5,Rakovica,"['Rakovica', 'Miljakovac 1']",1,300.0,cityexpert.rs_-_nekretnina_id_-_50730_-_0943_-_20220804.jpg,r,118975,BR,False,0,1,1,"['furAircon', 'furFridge', 'furShower', 'furStove', 'furWasher']","['bldgOptsIntercom', 'bldgOptsSurveillance']",[1],[3],6,[3],"[1, 2, 3, 4, 5]",[],2026-05-30T08:00:36Z,2026-05-30T08:19:51Z,11.538462,,,False,False,True,[],['b1+'],[],[12],False,['5_10'],False,False,True,False
32215-BR,32215,51,1,"44.79741, 20.48801",Golubačka,2_4,37,1.5,Vračar,"['Vračar', 'Crveni krst (Vozarev krst)', 'Širi centar', 'Zvezdara bez Mirijeva']",1,540.0,cityexpert.rs_-_nekretnina_id_-_32215_-_0334_-_20250603.jpg,r,118973,BR,False,0,1,1,"['furAircon', 'furBed', 'furCable', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furTV', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']",[4],[4],6,[2],"[1, 2, 3, 4, 5]",['adpTerrace'],2026-06-30T22:00:00Z,2026-05-30T08:16:41Z,14.594595,,,False,True,True,['r1'],['b1+'],[2],[12],False,['5'],False,False,True,False
72864-BR,72864,51,1,"44.82819, 20.41163",Bulevar Mihajla Pupina,2_4,43,1.5,Novi Beograd,"['Novi Beograd', 'Blok 2', 'Zemunski kej - NBG']",1,600.0,cityexpert.rs_-_nekretnina_id_-_72864_-_0122_-_20250615.jpg,r,118974,BR,False,0,1,2,"['furAircon', 'furBed', 'furCable', 'furFridge', 'furInternet', 'furPullOutBed', 'furShower', 'furStove', 'furWasher']","['bldgOptsElevator', 'bldgOptsIntercom']",[1],"[3, 4]",2,"[2, 3]",[],[],2026-06-30T22:00:00Z,2026-05-30T08:13:18Z,13.953488,,,False,True,True,['r1'],['b1+'],[1],[],False,['5'],False,False,True,False
43316-BR,43316,51,1,"44.79695, 20.48453",Velimira Bate Živojinovića,VPR,187,5+,Vračar,"['Vračar', 'Čubura', 'Širi centar']",1,1500.0,cityexpert.rs_-_nekretnina_id_-_43316_-_0609_-_20220413.jpg,r,118972,BR,False,0,3,1,"['furAircon', 'furBed', 'furCable', 'furFridge', 'furInternet', 'furShower', 'furStove', 'furWasher']",[],"[4, 99]",[1],1,[2],"[1, 2, 3]",['adpTerrace'],2026-06-09T22:00:00Z,2026-05-30T06:39:31Z,8.02139,,,False,False,True,['r6+'],"['b1+', 'b2+', 'b3+', 'b4+']",[],[12],False,['5'],False,False,True,False
